Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
12/09/2020,12:30,Fulham,Arsenal,0,3,A,0,1,A
12/09/2020,15:00,Crystal Palace,Southampton,1,0,H,1,0,H
12/09/2020,17:30,Liverpool,Leeds,4,3,H,3,2,H
12/09/2020,20:00,West Ham,Newcastle,0,2,A,0,0,D
13/09/2020,14:00,West Brom,Leicester,0,3,A,0,0,D
13/09/2020,16:30,Tottenham,Everton,0,1,A,0,0,D
14/09/2020,20:15,Brighton,Chelsea,1,3,A,0,1,A
14/09/2020,18:00,Sheffield United,Wolves,0,2,A,0,2,A
19/09/2020,12:30,Everton,West Brom,2,2,H,2,1,H
19/09/2020,15:00,Leeds,Fulham,4,3,H,2,1,H
19/09/2020,17:30,Man United,Crystal Palace,1,3,A,0,1,A
19/09/2020,20:00,Arsenal,West Ham,2,1,H,1,1,D
20/09/2020,12:00,Southampton,Tottenham,2,5,A,1,1,D
20/09/2020,14:00,Newcastle,Brighton,0,3,A,0,2,A
20/09/2020,16:30,Chelsea,Liverpool,0,2,A,0,0,D
20/09/2020,19:00,Leicester,Burnley,4,2,H,1,1,D
21/09/2020,18:00,Aston Villa,Sheffield United,1,0,H,0,0,D
21/09/2020,20:15,Wolves,Man City,1,3,A,0,2,A
26/09/2020,12:30,Brighton,Man United,2,3,A,1,1,D
26/09/2020,15:00,Crystal Palace,Everton,1,2,A,1,2,A
26/09/2020,17:30,West Brom,Chelsea,3,3,D,3,0,H
26/09/2020,20:00,Burnley,Southampton,0,1,A,0,1,A
27/09/2020,12:00,Sheffield United,Leeds,0,1,A,0,0,D
27/09/2020,14:00,Tottenham,Newcastle,1,1,D,1,0,H
27/09/2020,16:30,Man City,Leicester,2,5,A,1,1,D
27/09/2020,19:00,West Ham,Wolves,4,0,H,1,0,H
28/09/2020,17:45,Fulham,Aston Villa,0,3,A,0,2,A
28/09/2020,20:00,Liverpool,Arsenal,3,1,H,2,1,H
03/10/2020,12:30,Chelsea,Crystal Palace,4,0,H,0,0,D
03/10/2020,15:00,Everton,Brighton,4,2,H,2,1,H
03/10/2020,17:30,Leeds,Man City,1,1,D,0,1,A
03/10/2020,20:00,Newcastle,Burnley,3,1,H,1,0,H
04/10/2020,12:00,Leicester,West Ham,0,3,A,0,2,A
04/10/2020,12:00,Southampton,West Brom,2,0,H,1,0,H
04/10/2020,14:00,Arsenal,Sheffield United,2,1,H,0,0,D
04/10/2020,14:00,Wolves,Fulham,1,0,H,0,0,D
04/10/2020,16:30,Man United,Tottenham,1,6,A,1,4,A
04/10/2020,19:15,Aston Villa,Liverpool,7,2,H,4,1,H
17/10/2020,12:30,Everton,Liverpool,2,2,D,1,1,D
17/10/2020,15:00,Chelsea,Southampton,3,3,D,2,1,H
17/10/2020,17:30,Man City,Arsenal,1,0,H,1,0,H
17/10/2020,20:00,Newcastle,Man United,1,4,A,1,1,D
18/10/2020,12:00,Sheffield United,Fulham,1,1,D,0,0,D
18/10/2020,14:00,Crystal Palace,Brighton,1,1,D,1,0,H
18/10/2020,16:30,Tottenham,West Ham,3,3,D,3,0,H
18/10/2020,19:15,Leicester,Aston Villa,0,1,A,0,0,D
19/10/2020,17:30,West Brom,Burnley,0,0,D,0,0,D
